text,label
"pinjem pensil dong, lupa bawa","0"
"eh kamu ikut ekskul apa?","0"
"lagu favorit mu apa sih?","0"
"main mobile legends yuk, bosen nih","0"
"kamu pinter banget ya pelajaran IPA","0"
"ranking berapa kamu semester kemarin?","0"
"sekolah mu jauh gak dari rumah?","0"
"lagi di kosan sendirian ya? boleh main ke sana gak?","1"
"abang kangen, kapan kita telponan lagi?","1"
"foto bugil mu mana? janji gak disebar kok","1"
"kamu masih perawan kan? abang suka yang gitu","1"
"ayo main truth or dare, abang mulai duluan","1"
"kamu pernah isep kontol belum? pengen coba gak?","1"
"abang mau ngajarin posisi yang enak","1"
"kalo kamu nurut, abang kasih pulsa 100 ribu","1"
"jangan takut, cuma ciuman doang kok","1"
"abang sayang banget sama kamu, beneran","1"
"kamu spesial buat abang, beda sama yang lain","1"
"ortu mu ketat ya? makanya susah ketemu","1"
"abang janji nikahin kamu nanti","1"
"kalo hamil abang tanggung jawab kok","1"
"ayo ke hotel bentar, cuma 2 jam doang","1"
"kamu cantik banget, pasti banyak yang naksir","0"
"senyum mu manis banget","0"
"kamu baik banget sih orangnya","0"
"pinter ya kamu, ajarin dong","0"
"suara kamu lucu banget pas nyanyi","0"
"makasih ya udah nemenin aku","0"
"kamu temen terbaikku","0"
"seru banget ngobrol sama kamu","0"
"lo gendut banget kayak babi hutan","0"
"muka lo kayak kecelakaan","0"
"bodoh amat lo belajar gitu aja gagal","0"
"lo ni manusia apa setan? jelek banget","0"
"ga punya temen ya lo? wajar sih","0"
"lo ni miskin ya? sepatu aja bolong","0"
"lo ni bau banget, mandi gak sih?","0"
"lo ni cacat ya? jalannya pincang","0"
"lo ni anak haram kali ya orang tua lo gitu","0"
"lo ni LGBTV apa gimana? kelakuan lo aneh","0"
"pap dong yang lagi di kamar","1"
"lagi pake BH warna apa hayo?","1"
"abang mau lihat toket mu bentar","1"
"kamu pasti enak digituin","1"
"ayo kita pacaran, tapi rahasia ya","1"
"abang mau jadi pacar pertama mu","1"
"kalo kamu mau, abang beliin HP baru","1"
"jangan takut, abang lembut kok","1"
"kamu mau gak jadi pacar abang?","1"
"abang suka kamu dari dulu","1"
"kita kawin lari aja yuk","1"
"abang gak tahan pengen peluk kamu","1"
"kamu pasti rapet banget","1"
"abang mau nyanyi buat kamu","0"
"lagu apa yang kamu suka?","0"
"besok ada yang ulang tahun gak di kelas?","0"
"kamu suka kucing gak? aku punya 3","0"
"film horor apa yang paling seram menurut mu?","0"
"kamu takut gelap gak?","0"
"pernah ke dufan belum?","0"
"main uno yuk di kantin","0"
"kamu suka es krim gak?","0"
"warna favorit mu apa?","0"
"lo ni muka lo kayak pantat babih","0"
"lo ni bodohnya level dewa","0"
"lo ni ga ada yang mau sama lo","0"
"lo ni anak broken home ya? kelakuan lo gitu","0"
"lo ni banci kali ya suka nangis","0"
"lo ni jablay gratisan","0"
"lo ni murahan banget","0"
"lo ni tai, ga usah sok cantik","0"
"lo ni kek pelacur","0"
"lo ni ga laku kali ya makanya desperate","0"
"abang dari Kendari juga, kita satu kampung dong","1"
"rumah mu di baruga ya? abang sering lewat situ","1"
"ayo kita ketemu di MTC Kendari","1"
"kendari panas banget ya, kamu lagi pake apa biar sejuk?","1"
"abang jemput pake motor ya, kamu naik belakang","1"
"di Kendari banyak tempat rahasia loh, mau abang ajak?","1"
"kalo di Kendari kita bisa ke pantai sepi","1"
"abang janji gak bilang siapa-siapa kita ketemu","1"
"kamu anak kendari asli ya? manis banget","1"
"abang mau kasih oleh-oleh khas Kendari buat kamu","1"
"beibeh lagian pake daster gitu, pap bentar dong","1"
"aduh cantiknya gak ketulungan, abang meleleh","1"
"lagi di kosan sepi ya? boleh abang mampir gak?","1"
"jangan pake nama asli di WA ya, takut ketauan mama","1"
"abang mau jadi pacar rahasia mu, boleh kan sayang?","1"
"kamu masih polos ya? abang suka banget yang gitu","1"
"kalo nurut, abang transfer 500 ribu tiap minggu","1"
"besok minggu, kita ke Ancol berdua aja yuk","1"
"abang janji cuma peluk doang, gak lebih","1"
"kamu pasti enak dicium lehernya","1"
"eh lagian di Bandung dingin, pake baju tipis gitu","1"
"abang jemput ke Lembang ya, terus kita nginep","1"
"pap yang lagi di kamar mandi dong, abang janji gak save","1"
"kamu kelas 2 SMP ya? masih imut banget","1"
"abang mau kasih iPhone 15, tapi harus video call dulu","1"
"jangan takut, abang orang baik, liat KTP abang","1"
"ayo main dokter-dokteran, kamu jadi pasiennya","1"
"abang kangen suara mu, telpon 5 menit aja","1"
"kamu pernah pacaran belum? abang mau jadi yang pertama","1"
"di Surabaya panas ya, lagi pake kaos oblong doang kan?","1"
"abang dari Sidoarjo, deket dong sama rumah mu","1"
"ayo kita ketemu di Tunjungan Plaza, abang tunggu di toilet lantai 3","1"
"kamu pasti manis kalo lagi nangis ketakutan","1"
"abang suka yang pake rok sekolah pendek gitu","1"
"foto kaki mu dong, abang suka yang mulus","1"
"kamu sholeha ya? abang mau rusak dikit boleh?","1"
"abang punya condo di Jakarta, mau diajak main ke sana?","1"
"kalo kamu mau, abang beliin tas branded","1"
"jangan save chat kita ya, nanti abang marah","1"
"kamu spesial banget, abang gak gitu sama yang lain","1"
"lo goblok amat sih, otak lo di dengkul ya?","0"
"anjing lo pada ngapain kesini, pulang aja sana","0"
"muka lo kayak abis ditabrak truk","0"
"lo ni ga ada gunanya hidup di dunia","0"
"bodoh level dewa, belajar aja susah","0"
"lo ni miskin ya? HP aja pinjem temen","0"
"lo ni bau ketek banget, mandi pake sabun apa?","0"
"lo ni anak haram, makanya orang tua lo gitu","0"
"lo ni setan, muka lo serem banget","0"
"lo ni ga laku, makanya desperate cari perhatian","0"
"eh bro, lagi ngapain malem ini?","0"
"main FF yuk, aku carry","0"
"besok ada kuis sejarah gak ya?","0"
"makan bakso yuk abis pulang sekolah","0"
"kamu suka mie ayam apa bakso?","0"
"lagu baru Taylor Swift bagus gak menurut mu?","0"
"eh kamu ikut pramuka gak?","0"
"besok pakai seragam pramuka ya, lucu","0"
"kamu suka nonton drakor gak?","0"
"pernah ke Trans Studio Bandung belum?","0"
"abang dari Medan nih, kamu suka durian gak?","1"
"rumah mu di Sunggal ya? abang sering lewat situ","1"
"ayo kita ketemu di Centre Point, abang jemput","1"
"Medan panas ya, kamu lagi pake apa di rumah?","1"
"abang mau ajak ke Brastagi, dingin loh malam","1"
"kamu anak Medan asli ya? cantik banget","1"
"abang punya villa di Berastagi, mau diajak?","1"
"jangan bilang orang tua ya kita ketemu","1"
"abang janji kasih duit buat beli baju","1"
"kamu pasti enak digigit lehernya","1"
"lagi di Makassar ya? abang jemput ke Pantai Losari","1"
"rumah mu di Panakkukang ya? deket mall","1"
"ayo kita nginep di hotel deket pantai","1"
"Makassar malam sepi, cocok buat kita berdua","1"
"abang suka yang pake jilbab tapi genit","1"
"kamu sholeha tapi boleh lah sesekali","1"
"abang mau kasih emas 5 gram kalo nurut","1"
"foto tanpa jilbab dong, abang penasaran","1"
"abang janji gak nyanyi lagu Makassar kalo kamu mau","1"
"kamu pasti manis kalo lagi takut","1"
"lo ni muka lo kayak upil kering","0"
"lo ni bodohnya kebangetan","0"
"lo ni ga punya otak ya?","0"
"lo ni cacat mental kali ya","0"
"lo ni ga ada yang sayang","0"
"lo ni anak broken home ya? wajar","0"
"lo ni murahan banget sih","0"
"lo ni tai, mending mati aja","0"
"lo ni pelacur gratisan","0"
"lo ni ga laku di pasaran","0"
"eh lagi ngapain nih? bosen","0"
"main among us yuk","0"
"kamu suka ayam geprek gak?","0"
"besok ada jadwal piket gak?","0"
"kamu suka warna apa? aku suka biru","0"
"pernah ke Bali belum?","0"
"main truth or dare yuk di gc","0"
"kamu takut hantu gak?","0"
"lagu favorit mu apa sekarang?","0"
"kamu suka baca novel gak?","0"
"abang mau kasih hadiah ultah, tapi harus ketemu dulu","1"
"kamu mau boneka besar gak? abang beliin","1"
"abang kangen banget, udah 2 hari gak chat","1"
"jangan blok abang ya, abang sedih","1"
"abang mimpiin kamu semalem, lagi pake baju putih","1"
"kamu pasti enak dipeluk dari bel worksheets","1"
"abang mau ngajarin ciuman yang bener","1"
"ayo kita pacaran beneran, abang serius","1"
"kalo kamu hamil, abang tanggung jawab","1"
"abang punya duit banyak, mau apa aja abang beliin","1"
"kamu mau ke Singapore gak? abang ajak","1"
"abang janji gak kasih tau siapa-siapa","1"
"foto yang lagi tidur dong, abang mau jadi wallpaper","1"
"kamu pasti cantik kalo lagi nangis","1"
"abang suka yang masih kecil kayak kamu","1"
"kamu kelas 8 ya? masih polos banget","1"
"abang mau jadi yang pertama buat kamu","1"
"jangan takut, abang pelan-pelan kok","1"
"kamu mau gak abang jemput abis sekolah?","1"
"abang tunggu di belakang sekolah ya","1"
"lo ni jelek banget muka lo","0"
"lo ni bau banget badan lo","0"
"lo ni cupu level dewa","0"
"lo ni ga ada temen ya?","0"
"lo ni miskin ya? sepatu bolong","0"
"lo ni anak pungut kali ya","0"
"lo ni setan kampung","0"
"lo ni ga punya masa depan","0"
"lo ni tai ayam","0"
"lo ni ga layak hidup","0"
"besok ada ulangan matematika gak?","0"
"kamu ngerti bab 5 gak? ajarin dong","0"
"makan siang bareng yuk","0"
"kamu suka cokelat gak? aku bawa","0"
"main bulu tangkis yuk abis sekolah","0"
"kamu ikut les apa?","0"
"besok pakai baju bebas ya","0"
"kamu suka nonton Spiderman gak?","0"
"pernah ke Dufan belum?","0"
"kamu suka es krim walls gak?","0"
"abang dari Kendari Barat, kamu di Poasia ya?","1"
"ayo kita ketemu di Kendari Beach","1"
"abang jemput pake Beat ya","1"
"kendari malam sepi, cocok buat kita jalan","1"
"kamu suka cashew nut gak? abang bawa","1"
"abang mau kasih duit jajan 200 ribu tiap hari","1"
"jangan bilang guru ya kita chat","1"
"kamu pasti enak dicium bibirnya","1"
"abang suka yang pake seragam putih biru","1"
"foto yang lagi di kelas dong","1"
"lagi di wc sekolah ya? pap dong","1"
"abang mau lihat celana dalam mu warna apa","1"
"kamu pasti rapet banget","1"
"abang janji gak ngerecord","1"
"ayo kita ke hotel di Kendari","1"
"abang punya kamar sendiri","1"
"kamu mau gak abang ajak ke Toronipa?","1"
"di Toronipa sepi, cuma kita berdua","1"
"abang sayang banget sama kamu","1"
"kamu beda dari yang lain","1"
"abang lagi di Kendari nih, jemput ke Poasia yuk malem ini","1"
"kamu pake rok abu-abu ya? abang suka banget","1"
"foto yang lagi duduk di kelas dong, abang mau liat paha mu","1"
"abang kasih 300 ribu kalo kamu mau video call tanpa baju","1"
"jangan takut, abang hapus videonya abis liat","1"
"kamu masih SMP kan? abang suka yang masih bau susu","1"
"abang punya sugar daddy temen, mau kenalin gak?","1"
"di Makassar lagi hujan, kamu lagi sendirian ya? boleh abang ke sana?","1"
"abang bawa mobil, jemput jam 10 malem gak ketauan ortu","1"
"kamu pasti enak kalo lagi takut","1"
"abang suka yang pake kerudung tapi nakal","1"
"foto tanpa kerudung dong cuma buat abang","1"
"abang janji gak save, cuma 5 detik doang","1"
"kamu kelas 7 ya? masih imut banget mukanya","1"
"abang mau jadi pacar online mu, boleh kan sayang?","1"
"jangan kasih tau temen ya, nanti iri","1"
"abang transfer 1 juta kalo kamu mau ketemu","1"
"kamu mau ke Singapore gratis? abang sponsor","1"
"abang punya apartemen di Jakarta, mau diajak main?","1"
"lagi di kamar sendirian ya? buka baju bentar dong","1"
"lo ni muka lo kayak abis kena setrika panas","0"
"lo ni bodohnya minta ampun","0"
"lo ni ga punya otak apa punya tempe?","0"
"lo ni bau jembut banget","0"
"lo ni anak kampung ga laku","0"
"lo ni jeleknya kebangetan","0"
"lo ni miskin raya","0"
"lo ni cacat otak level akut","0"
"lo ni ga ada yang mau","0"
"lo ni setan jamban","0"
"eh bro, lagu baru Denny Caknan enak gak?","0"
"main PES yuk, aku bawa stik","0"
"besok ada upacara gak?","0"
"kamu suka sate apa bakso?","0"
"pernah ke Bromo belum?","0"
"kamu suka kopi apa teh?","0"
"main catur yuk di kantin","0"
"kamu ikut paskibra gak?","0"
"besok ada jadwal olahraga gak?","0"
"kamu suka warna hitam gak?","0"
"abang dari Surabaya, kamu di Gubeng ya?","1"
"abang jemput ke Taman Bungkul malem ini","1"
"Surabaya malam sepi, cocok buat kita","1"
"kamu pake rok pramuka ya? pap dong","1"
"abang kasih sepatu Nike kalo kamu mau telponan","1"
"jangan takut, abang gak nyanyi lagu Jawa","1"
"kamu pasti manis kalo lagi basah keringetan","1"
"abang suka yang pake kaos ketat","1"
"foto yang lagi olahraga dong","1"
"abang mau lihat BH mu warna apa","1"
"lo ni tai kucing kering","0"
"lo ni cupu abis","0"
"lo ni ga punya masa depan","0"
"lo ni anak haram jadah","0"
"lo ni banci kampung","0"
"lo ni murahan level pasar","0"
"lo ni ga layak hidup","0"
"lo ni muka lo kayak pantat monyet","0"
"lo ni bodohnya akut","0"
"lo ni ga ada temen","0"
"eh lagi makan apa?","0"
"besok ada tugas IPA gak?","0"
"kamu suka ayam goreng gak?","0"
"main uno yuk di kelas","0"
"kamu suka warna pink gak?","0"
"pernah ke Ragunan belum?","0"
"kamu takut petir gak?","0"
"main mobile legends yuk rank","0"
"kamu suka es teh apa es jeruk?","0"
"besok ada pramuka gak?","0"
"abang dari Medan, kamu di Binjai ya?","1"
"abang jemput ke Medan Fair","1"
"Medan malam dingin, kamu lagi pake apa?","1"
"abang bawa durian, mau gak?","1"
"kamu suka soto Medan gak? abang traktir","1"
"abang punya rumah kosong, mau diajak?","1"
"jangan bilang pacar ya kita chat","1"
"kamu pasti enak kalo lagi takut gelap","1"
"abang suka yang pake seragam SMA","1"
"foto yang lagi di kantin dong","1"
"abang lagi di Bandung, jemput ke Dago yuk","1"
"Bandung dingin, kamu lagi pake sweater gak?","1"
"abang bawa cokelat Silverqueen","1"
"kamu mau ke Lembang malem ini?","1"
"abang punya villa, cuma kita berdua","1"
"jangan takut, abang bawa jaket","1"
"kamu pasti cantik kalo lagi kedinginan","1"
"abang suka yang pake rok pendek","1"
"foto yang lagi di rooftop dong","1"
"abang kasih 500 ribu kalo mau ketemu","1"
"lo ni jeleknya parah","0"
"lo ni bau banget","0"
"lo ni cupu abis","0"
"lo ni ga ada yang suka","0"
"lo ni miskin banget","0"
"lo ni anak pungut","0"
"lo ni setan","0"
"lo ni ga punya otak","0"
"lo ni tai","0"
"lo ni ga laku","0"
"eh bro, lagi di mana?","0"
"main bola yuk sore","0"
"besok ada ulangan agama gak?","0"
"kamu suka bakso urat gak?","0"
"pernah ke Anyer belum?","0"
"kamu suka nonton anime gak?","0"
"main truth or dare yuk","0"
"kamu suka warna ungu gak?","0"
"besok ada piket gak?","0"
"kamu ikut band gak?","0"
"abang dari Jakarta, kamu di Depok ya?","1"
"abang jemput ke UI malam ini","1"
"Jakarta macet, kamu lagi sendirian ya?","1"
"abang bawa KFC, mau gak?","1"
"kamu suka ayam geprek gak?","1"
"abang punya apartemen di Sudirman","1"
"jangan bilang temen ya kita ketemu","1"
"kamu pasti enak kalo lagi takut","1"
"abang suka yang pake crop top","1"
"foto yang lagi di mall dong","1"
"abang lagi di Kendari, jemput ke Wua-Wua yuk","1"
"Kendari malam sepi, kamu lagi apa?","1"
"abang bawa cashew nut","1"
"kamu mau ke Moramo malem ini?","1"
"abang punya speedboat","1"
"jangan takut, abang bawa jaket","1"
"kamu pasti cantik kalo lagi basah","1"
"abang suka yang pake seragam putih","1"
"foto yang lagi di pantai dong","1"
"abang kasih 1 juta kalo mau ketemu","1"
"lo ni muka lo kayak abis kena sambel","0"
"lo ni bodohnya minta ampun","0"
"lo ni ga punya temen","0"
"lo ni anak broken home","0"
"lo ni banci","0"
"lo ni murahan","0"
"lo ni ga layak hidup","0"
"lo ni tai kering","0"
"lo ni cupu","0"
"lo ni jelek","0"
"eh lagi ngapain? bosen","0"
"main among us yuk","0"
"kamu suka ayam geprek gak?","0"
"besok ada jadwal piket gak?","0"
"kamu suka warna apa?","0"
"pernah ke Bali belum?","0"
"main truth or dare yuk","0"
"kamu takut hantu gak?","0"
"lagu favorit mu apa?","0"
"kamu suka baca novel gak?","0"
"abang mau kasih hadiah ultah, tapi harus ketemu","1"
"kamu mau boneka besar gak?","1"
"abang kangen banget","1"
"jangan blok abang ya","1"
"abang mimpiin kamu","1"
"kamu pasti enak dipeluk","1"
"abang mau ngajarin ciuman","1"
"ayo kita pacaran beneran","1"
"kalo kamu hamil abang tanggung jawab","1"
"abang punya duit banyak","1"
"kamu mau ke Singapore gak?","1"
"abang janji gak kasih tau","1"
"foto yang lagi tidur dong","1"
"kamu pasti cantik kalo nangis","1"
"abang suka yang masih kecil","1"
"kamu kelas 8 ya?","1"
"abang mau jadi yang pertama","1"
"jangan takut, abang pelan-pelan","1"
"kamu mau gak abang jemput?","1"
"abang tunggu di belakang sekolah","1"
"abang dari Tangerang, kamu di BSD ya?","1"
"abang jemput ke Summarecon malam ini","1"
"Tangerang sepi, kamu lagi apa?","1"
"abang bawa Starbucks","1"
"kamu suka frappuccino gak?","1"
"abang punya rumah kosong","1"
"jangan bilang ortu ya","1"
"kamu pasti enak kalo lagi kedinginan","1"
"abang suka yang pake hoodie","1"
"foto yang lagi di mall dong","1"
"abang lagi di Batam, jemput ke Nagoya yuk","1"
"Batam malam sepi, kamu lagi sendirian?","1"
"abang bawa roti prada","1"
"kamu mau ke Singapore gratis?","1"
"abang punya kapal","1"
"jangan takut, abang bawa duit","1"
"kamu pasti cantik kalo lagi takut","1"
"abang suka yang pake seragam","1"
"foto yang lagi di sekolah dong","1"
"abang kasih 2 juta kalo mau ketemu","1"
"lo ni jelek banget","0"
"lo ni bau banget","0"
"lo ni cupu level dewa","0"
"lo ni ga ada temen","0"
"lo ni miskin","0"
"lo ni anak pungut","0"
"lo ni setan","0"
"lo ni ga punya masa depan","0"
"lo ni tai","0"
"lo ni ga layak hidup","0"
"besok ada ulangan matematika gak?","0"
"kamu ngerti bab 5 gak?","0"
"makan siang bareng yuk","0"
"kamu suka cokelat gak?","0"
"main bulu tangkis yuk","0"
"kamu ikut les apa?","0"
"besok pakai baju bebas ya","0"
"kamu suka nonton Spiderman gak?","0"
"pernah ke Dufan belum?","0"
"kamu suka es krim walls gak?","0"
"abang dari Kendari, kamu di Abeli ya?","1"
"abang jemput ke Kendari Town Square","1"
"Kendari panas, kamu lagi pake apa?","1"
"abang bawa es kelapa","1"
"kamu mau ke Toronipa malem ini?","1"
"abang punya mobil","1"
"jangan bilang guru ya","1"
"kamu pasti enak kalo lagi basah","1"
"abang suka yang pake kaos oblong","1"
"foto yang lagi di rumah dong","1"
"abang lagi di Makassar, jemput ke Pantai Losari yuk","1"
"Makassar malam sepi, kamu lagi apa?","1"
"abang bawa coto","1"
"kamu mau ke hotel deket pantai?","1"
"abang punya kamar","1"
"jangan takut, abang bawa duit","1"
"kamu pasti cantik kalo lagi takut","1"
"abang suka yang pake rok mini","1"
"foto yang lagi di kamar dong","1"
"abang kasih 3 juta kalo mau ketemu","1"
"lo ni muka lo kayak tai","0"
"lo ni bodohnya kebangetan","0"
"lo ni ga punya otak","0"
"lo ni cacat mental","0"
"lo ni ga ada yang sayang","0"
"lo ni broken home","0"
"lo ni murahan","0"
"lo ni tai","0"
"lo ni pelacur","0"
"lo ni ga laku","0"
"eh lagi ngapain nih?","0"
"main FF yuk","0"
"besok ada kuis sejarah gak?","0"
"makan bakso yuk","0"
"kamu suka mie ayam gak?","0"
"lagu baru Taylor Swift bagus gak?","0"
"eh kamu ikut pramuka gak?","0"
"besok pakai seragam pramuka ya","0"
"kamu suka nonton drakor gak?","0"
"pernah ke Trans Studio belum?","0"
"abang dari Medan, kamu di Helvetia ya?","1"
"abang jemput ke Sun Plaza","1"
"Medan panas, kamu lagi pake apa?","1"
"abang bawa martabak","1"
"kamu mau ke Berastagi malem ini?","1"
"abang punya villa","1"
"jangan bilang pacar ya","1"
"kamu pasti enak kalo lagi dingin","1"
"abang suka yang pake sweater","1"
"foto yang lagi di mall dong","1"
"abang lagi di Bandung, jemput ke Paris Van Java yuk","1"
"Bandung dingin, kamu lagi pake apa?","1"
"abang bawa surabi","1"
"kamu mau ke hotel deket PVJ?","1"
"abang punya kamar","1"
"jangan takut, abang bawa jaket","1"
"kamu pasti cantik kalo lagi kedinginan","1"
"abang suka yang pake crop top","1"
"foto yang lagi di rooftop dong","1"
"abang kasih 5 juta kalo mau ketemu","1"
"lo ni jeleknya parah","0"
"lo ni bau banget","0"
"lo ni cupu abis","0"
"lo ni ga ada yang suka","0"
"lo ni miskin banget","0"
"lo ni anak haram","0"
"lo ni setan","0"
"lo ni ga punya otak","0"
"lo ni tai","0"
"lo ni ga laku","0"
"eh bro, lagi di mana?","0"
"main bola yuk","0"
"besok ada ulangan agama gak?","0"
"kamu suka bakso urat gak?","0"
"pernah ke Anyer belum?","0"
"kamu suka nonton anime gak?","0"
"main truth or dare yuk","0"
"kamu suka warna ungu gak?","0"
"besok ada piket gak?","0"
"kamu ikut band gak?","0"
"abang dari Jakarta, kamu di Bekasi ya?","1"
"abang jemput ke Summarecon Bekasi","1"
"Jakarta macet, kamu lagi sendirian?","1"
"abang bawa KFC","1"
"kamu suka ayam geprek gak?","1"
"abang punya apartemen di Bekasi","1"
"jangan bilang temen ya","1"
"kamu pasti enak kalo lagi takut","1"
"abang suka yang pake hoodie","1"
"foto yang lagi di mall dong","1"
"abang lagi di Batam, jemput ke Batam Centre yuk","1"
"Batam malam sepi, kamu lagi apa?","1"
"abang bawa roti jala","1"
"kamu mau ke Singapore gratis?","1"
"abang punya kapal","1"
"jangan takut, abang bawa duit","1"
"kamu pasti cantik kalo lagi takut","1"
"abang suka yang pake seragam","1"
"foto yang lagi di sekolah dong","1"
"abang kasih 10 juta kalo mau ketemu","1"
"halo adik, lagi main apa di rumah? sendirian ya?","1"
"abang dari Kendari juga loh, rumahnya di Baruga","1"
"adek kelas berapa sekarang? masih SD ya? lucu banget","1"
"pap dong pake seragam pramuka, abang mau liat","1"
"ortu lagi kerja ya? aman kan kalo kita chat?","1"
"abang punya permen banyak, mau gak abang kasih?","1"
"jangan kasih tau mama ya kita temenan","1"
"rahasia kita berdua aja, janji ya sayang","1"
"abang mau jadi kakak angkat adik, boleh kan?","1"
"adek lagi pake kaos warna apa hayo?","1"
"abang jemput ke Kendari Beach yuk minggu ini","1"
"di pantai sepi, cuma kita berdua, seru kan?","1"
"adek pernah naik speedboat belum? abang ajak","1"
"abang kasih es krim gratis kalo mau ketemu","1"
"adek suka cashew nut gak? abang bawa dari pohon","1"
"rumah adik di Poasia ya? abang sering lewat situ","1"
"abang punya motor, jemput abis sekolah boleh?","1"
"adek pake rok sekolah pendek gak? lucu pasti","1"
"abang mau fotoin adik di Toronipa, cantik banget pasti","1"
"adek jangan takut, abang orang baik kok","1"
"abang janji gak bilang guru kita chat","1"
"adek punya WA gak? kasih dong, lebih enak","1"
"abang kasih pulsa 50 ribu tiap minggu kalo nurut","1"
"adek lagi di kamar sendirian ya? boleh video call?","1"
"abang suka adik yang pake jilbab putih","1"
"foto tanpa jilbab dong, cuma buat abang","1"
"abang janji gak save, 5 detik doang","1"
"adek pernah ciuman belum? abang ajarin yuk","1"
"abang punya boneka doraemon besar, mau gak?","1"
"adek mau ke MTC Kendari gak? abang traktir mainan","1"
"abang tunggu di depan sekolah jam 2 ya","1"
"adek pake sepeda ke sekolah gak? abang jemput","1"
"abang punya PS5 di rumah, mau main bareng?","1"
"adek suka roblox gak? abang top up diamond","1"
"abang kasih skin epic kalo mau telponan","1"
"adek lagi mandi belum? fotoin dong pas basah","1"
"abang suka adik yang masih polos kayak gini","1"
"adek kelas 5 SD ya? imut banget","1"
"abang mau jadi pacar pertama adik, boleh kan?","1"
"adek jangan bilang temen ya, nanti pada iri","1"
"abang transfer 100 ribu kalo mau ketemu di Kendari","1"
"adek mau ke Moramo gak? abang ajak naik mobil","1"
"abang punya villa di Moramo, cuma kita berdua","1"
"adek takut gelap gak? abang peluk kalo takut","1"
"abang janji gak macem-macem kok","1"
"adek pake daleman warna apa hayo?","1"
"abang mau liat toket adik yang kecil lucu itu","1"
"adek pernah pegang kontol belum? abang kasih liat","1"
"abang kasih iPad baru kalo mau main dokter-dokteran","1"
"adek mau ke Jakarta gak? abang beliin tiket","1"
"abang punya duit banyak, mau apa aja abang kasih","1"
"adek spesial banget buat abang","1"
"abang sayang adik beneran loh","1"
